"Story","Title","Result","Date","Stability","Duration (s)"
"Hire assign terminate","Hire pending hire edit loa terminate","SUCCESS","2022-12-21T11:07:40.8014026+08:00[Asia/Manila]","0.0","705.42"
"Hire assign terminate","Hire pending hire assign extension comp modif terminate","SUCCESS","2022-12-21T19:29:16.6287105+08:00[Asia/Manila]","0.0","897.77"
"Hire assign terminate","Hire new employee assign extension comp modif terminate","SUCCESS","2022-12-21T21:14:32.8590047+08:00[Asia/Manila]","0.0","1998.16"
"Hire assign terminate","Legal entity change comp modif reassign comp modif terminate","SUCCESS","2022-12-22T03:07:50.563949+08:00[Asia/Manila]","0.0","1596.23"
"Hire assign terminate","Hire new employee assign extension activity rate comp modif terminate","SUCCESS","2022-12-22T05:09:44.0696976+08:00[Asia/Manila]","0.0","1053.36"
"Hire assign terminate","Hire pending hire save draft","SUCCESS","2022-12-22T05:29:19.7569785+08:00[Asia/Manila]","0.0","1130.42"
"Hire assign terminate","Rehire inactive ee check draft finalize hiring","SUCCESS","2022-12-22T07:21:59.3625755+08:00[Asia/Manila]","0.0","882.49"
"Hire assign terminate","Hire new employee save draft and delete draft","SUCCESS","2022-12-22T08:03:32.2366655+08:00[Asia/Manila]","0.0","1458.55"
"Hire assign terminate","Terminate rehire inactive EE comp modification assign extension terminate","SUCCESS","2022-12-22T21:46:31.1305323+08:00[Asia/Manila]","0.0","2042.57"
